Kommune,E-Mail,Bundesland,Einwohner,,,,,,,,,,,,,,,,,
Aalen,presseamt@aalen.de,Baden-Württemberg,67621,,,,,,,,,,,,,,,,,
Achern,stadtverwaltung@achern.de,Baden-Württemberg,26733,,,,,,,,,,,,,,,,,
Adelsheim,info@adelsheim.de,Baden-Württemberg,5207,,,,,,,,,,,,,,,,,
Aichtal,stadt@aichtal.de,Baden-Württemberg,9599,,,,,,,,,,,,,,,,,
Albstadt,stadtverwaltung@albstadt.de,Baden-Württemberg,46950,,,,,,,,,,,,,,,,,
Backnang,stadt@backnang.de,Baden-Württemberg,38818,,,,,,,,,,,,,,,,,
Bad Dürrheim,rathaus@bad-duerrheim.de,Baden-Württemberg,13149,,,,,,,,,,,,,,,,,
Friedrchshall,info@friedrichshall.de,Baden-Württemberg,8332,,,,,,,,,,,,,,,,,
Bad Krozingen,stadt@bad-krozingen.de,Baden-Württemberg,21755,,,,,,,,,,,,,,,,,
Bad Mergentheim,info@bad-mergentheim.de,Baden-Württemberg,24023,,,,,,,,,,,,,,,,,
badrappau,stadt@badrappenau.de,Baden-Württemberg,4629,,,,,,,,,,,,,,,,,
bad saeckingen,bma@bad-saeckingen.de,Baden-Württemberg,17767,,,,,,,,,,,,,,,,,
bad Saulgau,info@bad-saulgau.de,Baden-Württemberg,17889,,,,,,,,,,,,,,,,,
Bad Urach,info@Bad-Urach.de,Baden-Württemberg,12751,,,,,,,,,,,,,,,,,
Bad Waldsee,info@bad-waldsee.de,Baden-Württemberg,20838,,,,,,,,,,,,,,,,,
Baden Baden,bb@baden-baden.de,Baden-Württemberg,1304,,,,,,,,,,,,,,,,,
Balingen,stadt@balingen.de,Baden-Württemberg,35623,,,,,,,,,,,,,,,,,
Biberach,info@biberach-riss.de,Baden-Württemberg,3799,,,,,,,,,,,,,,,,,
Bietigheim,stadt@bietigheim-bissingen.de,Baden-Württemberg,6468,,,,,,,,,,,,,,,,,
Blaustein,stadt@blaustein.de,Baden-Württemberg,16581,,,,,,,,,,,,,,,,,
Blumberg,info@stadt-blumberg.de,Baden-Württemberg,10003,,,,,,,,,,,,,,,,,
Böblingen,stadt@boeblingen.de,Baden-Württemberg,51483,,,,,,,,,,,,,,,,,
Bräunligen,info@braeunlingen.de,Baden-Württemberg,4839,,,,,,,,,,,,,,,,,
Breisach,info@breisach.de,Baden-Württemberg,1333,,,,,,,,,,,,,,,,,
Bretten,stadt@bretten.de,Baden-Württemberg,30274,,,,,,,,,,,,,,,,,
Bruchsal,info@bruchsal.de,Baden-Württemberg,47784,,,,,,,,,,,,,,,,,
Buchen,stadt@buchen.de,Baden-Württemberg,1240,,,,,,,,,,,,,,,,,
Bühl,stadt@buehl.de,Baden-Württemberg,28608,,,,,,,,,,,,,,,,,
Calw,stadt@calw.de,Baden-Württemberg,25001,,,,,,,,,,,,,,,,,
Crailsheim,info@crailsheim.de,Baden-Württemberg,35755,,,,,,,,,,,,,,,,,
Ditzingen,info@ditzingen.de,Baden-Württemberg,22666,,,,,,,,,,,,,,,,,
