2026-04-08 16:02:24 | DEBUG   | logging:callHandlers:1744 | Using selector: KqueueSelector
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.clients.bfs:fetch_bfs_municipalities:86 | Fetching municipalities from BFS (date=01-01-2026)...
2026-04-08 16:02:24 | DEBUG   | mail_municipalities.domain_resolver.clients.bfs:fetch_bfs_municipalities:91 | BFS API response: 160 bytes in 0.0s
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.clients.bfs:fetch_bfs_municipalities:133 | BFS API: 2 municipalities
2026-04-08 16:02:24 | DEBUG   | logging:callHandlers:1744 | Using selector: KqueueSelector
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.clients.bfs:fetch_bfs_municipalities:86 | Fetching municipalities from BFS (date=01-01-2026)...
2026-04-08 16:02:24 | DEBUG   | mail_municipalities.domain_resolver.clients.bfs:fetch_bfs_municipalities:91 | BFS API response: 99 bytes in 0.0s
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.clients.bfs:fetch_bfs_municipalities:133 | BFS API: 1 municipalities
2026-04-08 16:02:24 | DEBUG   | logging:callHandlers:1744 | Using selector: KqueueSelector
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.clients.bfs:fetch_bfs_municipalities:86 | Fetching municipalities from BFS (date=01-01-2026)...
2026-04-08 16:02:24 | DEBUG   | mail_municipalities.domain_resolver.clients.bfs:fetch_bfs_municipalities:91 | BFS API response: 148 bytes in 0.0s
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.clients.bfs:fetch_bfs_municipalities:133 | BFS API: 1 municipalities
2026-04-08 16:02:24 | DEBUG   | logging:callHandlers:1744 | Using selector: KqueueSelector
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.clients.openplz:fetch_openplz_ch_municipalities:112 | OpenPLZ CH: 2 municipalities loaded
2026-04-08 16:02:24 | DEBUG   | logging:callHandlers:1744 | Using selector: KqueueSelector
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.clients.openplz:fetch_openplz_ch_municipalities:112 | OpenPLZ CH: 1 municipalities loaded
2026-04-08 16:02:24 | DEBUG   | logging:callHandlers:1744 | Using selector: KqueueSelector
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.clients.openplz:fetch_openplz_ch_municipalities:112 | OpenPLZ CH: 51 municipalities loaded
2026-04-08 16:02:24 | DEBUG   | logging:callHandlers:1744 | Using selector: KqueueSelector
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.clients.openplz:fetch_openplz_municipalities:55 | OpenPLZ AT: 2 municipalities loaded
2026-04-08 16:02:24 | DEBUG   | logging:callHandlers:1744 | Using selector: KqueueSelector
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.clients.openplz:fetch_openplz_municipalities:55 | OpenPLZ AT: 0 municipalities loaded
2026-04-08 16:02:24 | DEBUG   | logging:callHandlers:1744 | Using selector: KqueueSelector
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.clients.wikidata:fetch_wikidata:43 | Fetching municipalities from Wikidata (code_field=bfs)...
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.clients.wikidata:fetch_wikidata:75 | Wikidata: 2 municipalities, 1 with websites
