2026-04-10 12:50:04 | DEBUG   | logging:callHandlers:1737 | Using selector: EpollSelector
2026-04-10 12:50:04 | INFO    | mail_municipalities.provider_classification.runner:run:136 | Classifying 2092 municipalities
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:174 | rule=dom_mx_spf base=0.80
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:225 | domestic MX override: rule=dom_mx_spf conf=0.80
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(moerbisch.bgld.gv.at): provider=domestic confidence=0.80 rule=dom_mx_spf signals=2
2026-04-10 12:50:05 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [   1/2092] moerbisch.bgld.gv.at: provider=domestic confidence=0.80 signals=2
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:174 | rule=dom_mx_spf base=0.80
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:225 | domestic MX override: rule=dom_mx_spf conf=0.80
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(siegendorf.bgld.gv.at): provider=domestic confidence=0.80 rule=dom_mx_spf signals=2
2026-04-10 12:50:05 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [   2/2092] siegendorf.bgld.gv.at: provider=domestic confidence=0.80 signals=2
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:174 | rule=dom_mx_spf base=0.80
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:225 | domestic MX override: rule=dom_mx_spf conf=0.80
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(eisenstadt.at): provider=domestic confidence=0.80 rule=dom_mx_spf signals=5
2026-04-10 12:50:05 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [   3/2092] eisenstadt.at: provider=domestic confidence=0.80 signals=5
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:174 | rule=dom_mx_spf base=0.80
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:225 | domestic MX override: rule=dom_mx_spf conf=0.80
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(steinbrunn.bgld.gv.at): provider=domestic confidence=0.80 rule=dom_mx_spf signals=2
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:174 | rule=dom_mx_spf base=0.80
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:225 | domestic MX override: rule=dom_mx_spf conf=0.80
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(trausdorf-wulka.bgld.gv.at): provider=domestic confidence=0.80 rule=dom_mx_spf signals=2
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:174 | rule=dom_mx_spf base=0.80
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:225 | domestic MX override: rule=dom_mx_spf conf=0.80
2026-04-10 12:50:05 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(wimpassing-leitha.bgld.gv.at): provider=domestic confidence=0.80 rule=dom_mx_spf signals=2
2026-04-10 12:50:05 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [   4/2092] steinbrunn.bgld.gv.at: provider=domestic confidence=0.80 signals=2
2026-04-10 12:50:05 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [   5/2092] trausdorf-wulka.bgld.gv.at: provider=domestic confidence=0.80 signals=2
