2026-04-10 09:54:56 | DEBUG   | logging:callHandlers:1737 | Using selector: EpollSelector
2026-04-10 09:54:56 | INFO    | mail_municipalities.provider_classification.runner:run:136 | Classifying 2110 municipalities
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(doppleschwand.ch): provider=ms365 confidence=0.98 rule=mx_spf signals=14
2026-04-10 09:54:57 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [   1/2110] doppleschwand.ch: provider=ms365 confidence=0.98 signals=14
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(obfelden.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=16
2026-04-10 09:54:57 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [   2/2110] obfelden.ch: provider=ms365 confidence=1.00 signals=16
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(romoos.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=15
2026-04-10 09:54:57 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [   3/2110] romoos.ch: provider=ms365 confidence=1.00 signals=15
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=dom_mx_spf base=0.80
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:226 | domestic MX override: rule=dom_mx_spf conf=0.84
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(hochdorf.ch): provider=domestic confidence=0.84 rule=dom_mx_spf signals=2
2026-04-10 09:54:57 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [   4/2110] hochdorf.ch: provider=domestic confidence=0.84 signals=2
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(fluehli.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=15
2026-04-10 09:54:57 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [   5/2110] fluehli.ch: provider=ms365 confidence=1.00 signals=15
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(aesch-lu.ch): provider=ms365 confidence=0.98 rule=mx_spf signals=13
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(hitzkirch.ch): provider=ms365 confidence=0.98 rule=mx_spf signals=14
2026-04-10 09:54:57 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [   6/2110] aesch-lu.ch: provider=ms365 confidence=0.98 signals=13
2026-04-10 09:54:57 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [   7/2110] hitzkirch.ch: provider=ms365 confidence=0.98 signals=14
2026-04-10 09:54:57 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=dom_mx_spf base=0.80
